epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1836,1.24178,3.55923,1.51669,0.55248,0.31704,0.33633,0.24051,1.01529,2.23363,1.38638,0.000132826,0.000132826,0.000132826
2,167.042,1.29672,2.58254,1.53627,0.49789,0.46381,0.45205,0.32724,1.01096,1.8121,1.32232,0.00026089,0.00026089,0.00026089
3,247.067,1.27423,2.358,1.51295,0.55283,0.40392,0.43262,0.29771,1.17509,1.92998,1.44617,0.000383673,0.000383673,0.000383673
4,328.384,1.25751,2.15811,1.48896,0.60989,0.50014,0.53345,0.37701,1.03669,1.56078,1.36547,0.00037624,0.00037624,0.00037624
5,411.113,1.2322,1.99928,1.46732,0.61633,0.50332,0.54052,0.39178,0.97519,1.53049,1.31419,0.00036832,0.00036832,0.00036832
6,491.976,1.19268,1.88675,1.4412,0.53941,0.56247,0.5639,0.40375,0.97917,1.57721,1.30841,0.0003604,0.0003604,0.0003604
7,572.24,1.1741,1.76448,1.42393,0.64477,0.55527,0.63346,0.45602,0.98141,1.3013,1.31523,0.00035248,0.00035248,0.00035248
8,653.295,1.14591,1.7131,1.40466,0.64284,0.57414,0.65147,0.46737,0.98067,1.30795,1.31345,0.00034456,0.00034456,0.00034456
9,733.693,1.14212,1.63218,1.40116,0.69346,0.6066,0.68004,0.49158,0.97341,1.16847,1.29533,0.00033664,0.00033664,0.00033664
10,813.42,1.1255,1.57546,1.38925,0.63571,0.58767,0.64678,0.48071,0.96216,1.25017,1.27732,0.00032872,0.00032872,0.00032872
11,892.63,1.09469,1.53078,1.36303,0.67196,0.64437,0.67918,0.48771,0.94345,1.25981,1.27589,0.0003208,0.0003208,0.0003208
12,975.044,1.09544,1.46678,1.36223,0.72462,0.6278,0.71497,0.51926,0.88526,1.05978,1.24132,0.00031288,0.00031288,0.00031288
13,1054.87,1.07857,1.40432,1.35524,0.66751,0.64768,0.70991,0.52404,0.89759,1.1179,1.24527,0.00030496,0.00030496,0.00030496
14,1135.06,1.07801,1.37482,1.35615,0.72992,0.64126,0.71861,0.5347,0.89433,1.04267,1.23003,0.00029704,0.00029704,0.00029704
15,1215.75,1.0722,1.3545,1.35317,0.69612,0.6758,0.72111,0.53439,0.89666,1.03458,1.25337,0.00028912,0.00028912,0.00028912
16,1297.76,1.05688,1.32939,1.33944,0.68789,0.64633,0.71601,0.52298,0.90272,1.09268,1.23345,0.0002812,0.0002812,0.0002812
