epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1377.91,1.05764,1.29693,1.33117,0.72221,0.65544,0.72752,0.53933,0.86931,1.0363,1.23936,0.00027328,0.00027328,0.00027328
18,1458.81,1.04353,1.25892,1.32273,0.77415,0.63956,0.74827,0.56066,0.8484,0.97883,1.21675,0.00026536,0.00026536,0.00026536
19,1539.85,1.03084,1.2189,1.32102,0.75747,0.67091,0.74846,0.55919,0.84691,0.97918,1.20809,0.00025744,0.00025744,0.00025744
20,1621.13,1.0257,1.20083,1.31665,0.70797,0.69883,0.75551,0.56676,0.84268,0.95308,1.19995,0.00024952,0.00024952,0.00024952
21,1700.73,1.02502,1.18649,1.31413,0.71206,0.70934,0.76417,0.56872,0.84305,0.90703,1.1986,0.0002416,0.0002416,0.0002416
22,1780.92,1.0117,1.14867,1.30648,0.776,0.69045,0.77941,0.58764,0.8375,0.89312,1.18956,0.00023368,0.00023368,0.00023368
23,1862.37,0.98811,1.11827,1.28962,0.73832,0.70142,0.76779,0.57382,0.83537,0.91465,1.19077,0.00022576,0.00022576,0.00022576
24,1943.38,0.98079,1.09336,1.28625,0.82651,0.66203,0.76193,0.57082,0.83586,0.91236,1.20109,0.00021784,0.00021784,0.00021784
25,2024.28,0.98121,1.09101,1.27843,0.78019,0.69897,0.77237,0.56857,0.85419,0.92467,1.19833,0.00020992,0.00020992,0.00020992
26,2104.75,0.98693,1.0851,1.28479,0.74174,0.74556,0.78864,0.58981,0.84008,0.84911,1.18277,0.000202,0.000202,0.000202
27,2185.04,0.97101,1.05038,1.27524,0.80291,0.69386,0.79687,0.59885,0.80916,0.83504,1.17235,0.00019408,0.00019408,0.00019408
28,2265.59,0.97385,1.05533,1.27871,0.77213,0.70561,0.78355,0.58198,0.83873,0.86781,1.1833,0.00018616,0.00018616,0.00018616
29,2344.81,0.96177,1.01787,1.26697,0.80949,0.70595,0.80136,0.60074,0.83257,0.81293,1.1784,0.00017824,0.00017824,0.00017824
30,2425.34,0.96045,1.00539,1.26738,0.77293,0.72709,0.78622,0.58936,0.82023,0.84464,1.17836,0.00017032,0.00017032,0.00017032
31,2505.56,0.94932,0.99775,1.25874,0.7656,0.7146,0.78755,0.60113,0.82095,0.82959,1.16444,0.0001624,0.0001624,0.0001624
32,2585.73,0.94951,0.97963,1.25555,0.77588,0.73388,0.79463,0.60245,0.80593,0.79971,1.17092,0.00015448,0.00015448,0.00015448
33,2665.3,0.94288,0.97995,1.2562,0.76849,0.72885,0.79257,0.59888,0.81172,0.81466,1.16962,0.00014656,0.00014656,0.00014656
34,2746.05,0.92943,0.95859,1.2445,0.79399,0.7127,0.79856,0.60739,0.82147,0.83291,1.16692,0.00013864,0.00013864,0.00013864
35,2826.42,0.92393,0.93816,1.23986,0.78929,0.71525,0.79832,0.60934,0.79701,0.78926,1.15713,0.00013072,0.00013072,0.00013072
36,2906.26,0.9251,0.9273,1.24171,0.748,0.72894,0.78936,0.60354,0.78075,0.79604,1.15398,0.0001228,0.0001228,0.0001228
37,2986.11,0.91985,0.93144,1.23883,0.79739,0.71966,0.79614,0.60114,0.79116,0.81865,1.15427,0.00011488,0.00011488,0.00011488
38,3065.46,0.90298,0.89434,1.22953,0.77042,0.73793,0.79389,0.60917,0.77286,0.79793,1.15164,0.00010696,0.00010696,0.00010696
39,3146.14,0.90377,0.89216,1.23129,0.75413,0.72576,0.78188,0.60277,0.77862,0.82815,1.14421,9.904e-05,9.904e-05,9.904e-05
40,3225.74,0.90666,0.87308,1.22669,0.75888,0.73698,0.7956,0.60612,0.80219,0.80574,1.14322,9.112e-05,9.112e-05,9.112e-05
41,3299.74,0.83436,0.69978,1.22704,0.78957,0.71891,0.78502,0.59565,0.79358,0.83024,1.15778,8.32e-05,8.32e-05,8.32e-05
42,3371.46,0.81794,0.68211,1.2069,0.78217,0.7229,0.77664,0.59748,0.78436,0.84971,1.14951,7.528e-05,7.528e-05,7.528e-05
43,3443.57,0.79624,0.64035,1.19387,0.75693,0.72498,0.78276,0.6025,0.78364,0.83069,1.1593,6.736e-05,6.736e-05,6.736e-05
44,3514.47,0.79878,0.63252,1.18899,0.78771,0.71404,0.79741,0.60764,0.79132,0.80989,1.14935,5.944e-05,5.944e-05,5.944e-05
45,3586.77,0.78388,0.61916,1.18194,0.75756,0.73725,0.78914,0.60329,0.7839,0.82558,1.14769,5.152e-05,5.152e-05,5.152e-05
46,3657.65,0.77192,0.60095,1.16827,0.78177,0.719,0.78457,0.59793,0.77721,0.81896,1.14312,4.36e-05,4.36e-05,4.36e-05
47,3729.83,0.77481,0.5974,1.17221,0.72654,0.75853,0.78618,0.6012,0.78024,0.85842,1.14517,3.568e-05,3.568e-05,3.568e-05
48,3801.91,0.76008,0.58284,1.16811,0.77985,0.745,0.79933,0.61123,0.77807,0.80422,1.15014,2.776e-05,2.776e-05,2.776e-05
49,3874,0.75405,0.57108,1.15661,0.81298,0.72015,0.79362,0.60605,0.77788,0.82554,1.14948,1.984e-05,1.984e-05,1.984e-05
50,3947.32,0.74949,0.5737,1.15627,0.79063,0.72955,0.79532,0.60971,0.7775,0.8173,1.1469,1.192e-05,1.192e-05,1.192e-05
