epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,522.903,1.29276,3.91824,1.54456,0.52866,0.11041,0.11209,0.07364,1.31491,3.72092,1.59021,0.000132338,0.000132338,0.000132338
2,1328.22,1.29258,3.10927,1.54466,0.56502,0.23179,0.20504,0.13676,1.26419,3.33612,1.556,0.000213069,0.000213069,0.000213069
3,1900.28,1.29174,2.86545,1.53983,0.49347,0.32969,0.31337,0.20819,1.25866,3.04958,1.52227,0.000240999,0.000240999,0.000240999
4,2836.18,1.27118,2.60817,1.50983,0.56249,0.3629,0.37755,0.25897,1.16887,2.70319,1.4632,0.0001624,0.0001624,0.0001624
5,3368.91,1.1923,2.46249,1.46072,0.52917,0.39519,0.4029,0.28538,1.12246,2.48378,1.44038,8.32e-05,8.32e-05,8.32e-05
