epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4734.86,1.2095,3.81796,1.5854,0.55591,0.32505,0.33825,0.23277,1.15191,2.94663,1.41141,0.000132826,0.000132826,0.000132826
2,6622.68,1.22991,2.85542,1.56041,0.67594,0.39284,0.44901,0.30645,1.11173,2.47607,1.37182,0.00023981,0.00023981,0.00023981
3,8911.91,1.21183,2.51636,1.52666,0.57425,0.49804,0.51492,0.36128,1.08409,2.16901,1.34266,0.000320393,0.000320393,0.000320393
4,29039.1,1.18976,2.26694,1.48971,0.53946,0.53142,0.55404,0.39169,1.07551,1.89814,1.33179,0.0002812,0.0002812,0.0002812
5,30034.8,1.12821,2.01769,1.44533,0.5292,0.57482,0.58066,0.42183,0.98067,1.82674,1.26077,0.0002416,0.0002416,0.0002416
6,63463,1.07487,1.79933,1.40337,0.68371,0.59956,0.65668,0.48695,0.92188,1.56164,1.23154,0.000202,0.000202,0.000202
7,64582.6,1.04328,1.67405,1.37531,0.69625,0.59252,0.66347,0.48678,0.904,1.48626,1.20759,0.0001624,0.0001624,0.0001624
8,65719,1.01159,1.52665,1.34254,0.7072,0.6215,0.69238,0.51796,0.86562,1.41856,1.17514,0.0001228,0.0001228,0.0001228
9,66904.7,0.97385,1.42145,1.31204,0.68354,0.6753,0.70542,0.51999,0.86847,1.36247,1.17107,8.32e-05,8.32e-05,8.32e-05
10,68018.2,0.94689,1.33445,1.29908,0.78,0.62669,0.71927,0.53357,0.84135,1.3269,1.16225,4.36e-05,4.36e-05,4.36e-05
