epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1193.97,1.1935,4.13987,1.49636,0.646,0.10975,0.11834,0.08507,1.16735,3.73528,1.51452,0.00010038,0.00010038,0.00010038
2,2452.46,1.18848,3.29463,1.49383,0.4658,0.27543,0.20377,0.14061,1.15144,3.28658,1.49916,0.000161507,0.000161507,0.000161507
3,3927.04,1.16438,2.92257,1.46452,0.45558,0.31062,0.2631,0.18355,1.13838,3.09752,1.47565,0.000182638,0.000182638,0.000182638
4,5068.19,1.11953,2.71619,1.44051,0.53286,0.31817,0.29933,0.21132,1.08917,2.81814,1.43845,0.000123018,0.000123018,0.000123018
5,6158.46,1.07205,2.5246,1.41324,0.54696,0.32806,0.35247,0.25436,1.05581,2.64974,1.41286,6.3024e-05,6.3024e-05,6.3024e-05
