epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3474.88,0.94213,0.93653,1.25073,0.76383,0.75687,0.80769,0.60112,0.83875,0.79453,1.18475,0.00023764,0.00023764,0.00023764
43,3557.59,0.93848,0.91552,1.24071,0.8154,0.7274,0.79555,0.59907,0.81081,0.83806,1.1652,0.00023368,0.00023368,0.00023368
44,3639.03,0.92914,0.91253,1.24186,0.82976,0.71053,0.79443,0.58736,0.85358,0.80551,1.18429,0.00022972,0.00022972,0.00022972
45,3720.58,0.9262,0.90186,1.23712,0.75756,0.7482,0.79161,0.5975,0.81227,0.80249,1.17718,0.00022576,0.00022576,0.00022576
46,3803.96,0.92809,0.90244,1.24289,0.81308,0.74918,0.80686,0.60987,0.81129,0.80026,1.16305,0.0002218,0.0002218,0.0002218
47,3886.61,0.9193,0.89402,1.23217,0.85759,0.71805,0.80161,0.59347,0.84109,0.79386,1.17514,0.00021784,0.00021784,0.00021784
48,3969.45,0.91535,0.8881,1.23583,0.79156,0.75269,0.81556,0.62016,0.79641,0.76011,1.15348,0.00021388,0.00021388,0.00021388
49,4051.15,0.90542,0.88048,1.22945,0.74422,0.77444,0.79845,0.60242,0.80449,0.79191,1.16159,0.00020992,0.00020992,0.00020992
50,4133.51,0.91209,0.87633,1.22812,0.81953,0.75297,0.81379,0.61737,0.81144,0.78247,1.15498,0.00020596,0.00020596,0.00020596
51,4217.07,0.90476,0.85613,1.22433,0.74538,0.72688,0.77988,0.59404,0.79725,0.81472,1.15684,0.000202,0.000202,0.000202
52,4299.53,0.90956,0.87388,1.22304,0.76333,0.77083,0.80402,0.60062,0.82241,0.78337,1.16701,0.00019804,0.00019804,0.00019804
53,4381.8,0.89808,0.84063,1.22588,0.75702,0.75969,0.80258,0.61349,0.80093,0.7681,1.17255,0.00019408,0.00019408,0.00019408
54,4463.18,0.89267,0.83535,1.22152,0.7808,0.7623,0.80718,0.6077,0.80681,0.78438,1.16024,0.00019012,0.00019012,0.00019012
55,4544.5,0.88946,0.82417,1.21585,0.80399,0.7288,0.79741,0.60152,0.81719,0.79344,1.17257,0.00018616,0.00018616,0.00018616
56,4629.18,0.89191,0.82633,1.21519,0.80014,0.73968,0.80649,0.61464,0.80998,0.77455,1.15995,0.0001822,0.0001822,0.0001822
57,4711.3,0.89417,0.83803,1.21856,0.79404,0.72207,0.78893,0.59974,0.81861,0.8028,1.17564,0.00017824,0.00017824,0.00017824
58,4794.02,0.87749,0.82162,1.21179,0.83901,0.70655,0.8069,0.60502,0.82621,0.81686,1.17584,0.00017428,0.00017428,0.00017428
59,4876.46,0.89127,0.83247,1.21436,0.77234,0.75787,0.8051,0.61093,0.80995,0.78594,1.15894,0.00017032,0.00017032,0.00017032
60,4960.86,0.87117,0.81184,1.19886,0.78885,0.75235,0.80274,0.61137,0.80926,0.77328,1.16362,0.00016636,0.00016636,0.00016636
61,5044,0.88083,0.80991,1.20467,0.79888,0.74742,0.8101,0.61237,0.81498,0.77132,1.16286,0.0001624,0.0001624,0.0001624
62,5127.73,0.8682,0.80636,1.19983,0.7512,0.77399,0.80263,0.60378,0.81159,0.80191,1.15317,0.00015844,0.00015844,0.00015844
63,5210.08,0.87996,0.79697,1.2092,0.75292,0.76355,0.80468,0.60186,0.81219,0.78471,1.1626,0.00015448,0.00015448,0.00015448
64,5293.11,0.86542,0.79196,1.19892,0.78583,0.75,0.80088,0.60973,0.80386,0.77699,1.15403,0.00015052,0.00015052,0.00015052
65,5375.71,0.8638,0.78393,1.19387,0.79716,0.75511,0.80766,0.62018,0.79854,0.75985,1.15244,0.00014656,0.00014656,0.00014656
66,5459.03,0.86184,0.78698,1.19661,0.79425,0.75194,0.79549,0.61162,0.78973,0.77274,1.16015,0.0001426,0.0001426,0.0001426
67,5541.85,0.85457,0.77211,1.19401,0.74805,0.78327,0.796,0.60396,0.78997,0.78613,1.14854,0.00013864,0.00013864,0.00013864
68,5625.69,0.86633,0.78472,1.1999,0.81809,0.72866,0.80547,0.61585,0.79439,0.7639,1.14576,0.00013468,0.00013468,0.00013468
69,5710.15,0.86376,0.77995,1.19593,0.81737,0.73512,0.80471,0.6108,0.79551,0.76412,1.15338,0.00013072,0.00013072,0.00013072
70,5792.35,0.84716,0.75932,1.18398,0.78337,0.74389,0.80146,0.61882,0.79707,0.76173,1.15069,0.00012676,0.00012676,0.00012676
71,5875.72,0.84784,0.74373,1.18228,0.76587,0.78293,0.81579,0.62531,0.77775,0.75678,1.1381,0.0001228,0.0001228,0.0001228
72,5959.34,0.84504,0.75706,1.18782,0.85129,0.72116,0.80802,0.61634,0.80462,0.77002,1.15923,0.00011884,0.00011884,0.00011884
73,6042.65,0.84281,0.74957,1.18286,0.81517,0.74178,0.81571,0.62553,0.79506,0.7458,1.14988,0.00011488,0.00011488,0.00011488
74,6125.72,0.83317,0.73656,1.17429,0.79447,0.77389,0.82554,0.62567,0.79223,0.73044,1.14836,0.00011092,0.00011092,0.00011092
75,6207.63,0.83679,0.74305,1.18056,0.80743,0.77983,0.82502,0.63354,0.78749,0.74047,1.14809,0.00010696,0.00010696,0.00010696
76,6291.01,0.83071,0.73352,1.17472,0.79258,0.74566,0.80375,0.6144,0.79981,0.7594,1.14941,0.000103,0.000103,0.000103
77,6373.94,0.83626,0.74134,1.17561,0.78685,0.74614,0.80678,0.6177,0.79584,0.76431,1.13797,9.904e-05,9.904e-05,9.904e-05
78,6457.01,0.82701,0.73342,1.17069,0.8442,0.73537,0.82084,0.62665,0.78722,0.73508,1.14231,9.508e-05,9.508e-05,9.508e-05
79,6539.73,0.82474,0.7239,1.17135,0.80185,0.77492,0.81286,0.62151,0.80062,0.73826,1.15247,9.112e-05,9.112e-05,9.112e-05
80,6623.28,0.83181,0.7241,1.17159,0.77973,0.74799,0.80975,0.61591,0.7976,0.76167,1.15395,8.716e-05,8.716e-05,8.716e-05
81,6706.35,0.82637,0.73195,1.17855,0.84185,0.72682,0.82194,0.63231,0.79526,0.74079,1.15822,8.32e-05,8.32e-05,8.32e-05
82,6789.56,0.82493,0.71162,1.16802,0.80947,0.76234,0.8203,0.63234,0.79314,0.73096,1.14849,7.924e-05,7.924e-05,7.924e-05
