epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1060.75,1.26093,3.57122,1.51878,0.4817,0.29265,0.29499,0.20852,1.02322,2.91979,1.3566,0.000132826,0.000132826,0.000132826
2,2202.29,1.29006,2.62427,1.52196,0.47952,0.44363,0.43813,0.30559,1.07737,2.55037,1.37941,0.00026089,0.00026089,0.00026089
3,3466.14,1.28755,2.33211,1.50898,0.43152,0.51611,0.49409,0.34801,1.04765,2.37196,1.36459,0.000383673,0.000383673,0.000383673
4,4614.14,1.27212,2.19146,1.48917,0.64195,0.49483,0.54735,0.38365,1.02361,1.97923,1.3342,0.00037624,0.00037624,0.00037624
5,5894.69,1.2411,2.02038,1.4621,0.63873,0.53188,0.57348,0.40591,1.07457,1.85959,1.3527,0.00036832,0.00036832,0.00036832
6,7040.21,1.21158,1.91731,1.44068,0.62537,0.52606,0.58578,0.41189,1.04189,1.77738,1.3288,0.0003604,0.0003604,0.0003604
7,8184.6,1.16769,1.79648,1.41768,0.69062,0.58297,0.62732,0.46346,0.94506,1.60183,1.28084,0.00035248,0.00035248,0.00035248
8,9449.58,1.15848,1.70716,1.41174,0.69328,0.50209,0.61018,0.44968,0.95589,1.59628,1.28602,0.00034456,0.00034456,0.00034456
9,10733.7,1.1442,1.64266,1.39503,0.64861,0.59078,0.65149,0.47929,0.9413,1.45548,1.25929,0.00033664,0.00033664,0.00033664
10,12011.7,1.13248,1.57031,1.38461,0.66216,0.58359,0.64616,0.47928,0.93171,1.47802,1.25962,0.00032872,0.00032872,0.00032872
11,13286.9,1.11572,1.53533,1.37257,0.65563,0.62559,0.65399,0.47108,0.96706,1.49192,1.28681,0.0003208,0.0003208,0.0003208
12,14546.1,1.10336,1.48561,1.36644,0.65411,0.67028,0.70464,0.52267,0.9306,1.22964,1.25493,0.00031288,0.00031288,0.00031288
13,15826.3,1.0846,1.43186,1.35195,0.6952,0.63508,0.70002,0.51217,0.9149,1.22945,1.23995,0.00030496,0.00030496,0.00030496
14,16945.3,1.079,1.39318,1.35351,0.71521,0.61286,0.71768,0.52416,0.90574,1.16647,1.22935,0.00029704,0.00029704,0.00029704
15,18200.2,1.06825,1.35431,1.34416,0.71074,0.66917,0.73793,0.53677,0.90601,1.13878,1.23829,0.00028912,0.00028912,0.00028912
16,19477.4,1.05298,1.30862,1.32873,0.71206,0.65534,0.71027,0.5329,0.87073,1.15806,1.2179,0.0002812,0.0002812,0.0002812
17,20736.8,1.05078,1.29597,1.33403,0.7275,0.68504,0.73439,0.53651,0.88514,1.11907,1.22217,0.00027328,0.00027328,0.00027328
18,22019.3,1.04335,1.26965,1.32736,0.7719,0.69511,0.7669,0.57218,0.86637,1.01121,1.22124,0.00026536,0.00026536,0.00026536
19,23268.3,1.03883,1.23866,1.32237,0.737,0.66211,0.74357,0.54933,0.87206,1.01271,1.21571,0.00025744,0.00025744,0.00025744
20,24382,1.02225,1.18508,1.3062,0.73814,0.71122,0.76337,0.56633,0.87826,1.0034,1.21786,0.00024952,0.00024952,0.00024952
21,25479.2,1.01424,1.18196,1.3068,0.74845,0.70526,0.76745,0.57161,0.86902,0.97702,1.21319,0.0002416,0.0002416,0.0002416
22,26584.5,1.00339,1.14994,1.30392,0.72762,0.68528,0.74322,0.56153,0.83719,1.01672,1.1925,0.00023368,0.00023368,0.00023368
